image_name,target,monk_skin_tone
ISIC_0061997,1,1.0
ISIC_0067127,1,1.0
ISIC_6945634,1,1.0
ISIC_0067696,1,1.0
ISIC_7577395,1,1.0
ISIC_0060326,1,1.0
ISIC_0000160,1,1.0
ISIC_0053812,1,1.0
ISIC_0071892,1,1.0
ISIC_0034243,1,1.0
ISIC_3775417,1,1.0
ISIC_0032462,1,1.0
ISIC_0063300,1,1.0
ISIC_0070364,1,1.0
ISIC_0070992,1,1.0
ISIC_0068116,1,1.0
ISIC_0059218,1,1.0
ISIC_0068910,1,1.0
ISIC_0064667,1,1.0
ISIC_0025964,1,1.0
ISIC_0065709,1,1.0
ISIC_9164054,1,1.0
ISIC_0027502,1,1.0
ISIC_2191434,0,9.0
ISIC_0333051,0,9.0
ISIC_9302863,0,9.0
ISIC_3379523,0,9.0
ISIC_4820373,0,10.0
ISIC_0064167,1,1.0
ISIC_0033773,1,1.0
ISIC_0068560,1,1.0
ISIC_0062639,1,1.0
ISIC_0063072,1,1.0
ISIC_0056428,1,1.0
ISIC_0033302,1,1.0
ISIC_0067208,1,1.0
ISIC_0067747,1,1.0
ISIC_0025651,1,1.0
ISIC_0026868,1,1.0
ISIC_0072377,1,1.0
ISIC_0070285,1,1.0
ISIC_0026586,1,1.0
ISIC_0057261,1,1.0
ISIC_1247683,1,1.0
ISIC_0055563,1,1.0
ISIC_0057734,1,1.0
ISIC_0071101,1,1.0
ISIC_0071392,1,1.0
ISIC_0054244,1,1.0
ISIC_0025744,1,1.0
ISIC_0072786,1,1.0
ISIC_0025603,1,1.0
ISIC_0025303,1,1.0
ISIC_0001140,1,1.0
ISIC_0032888,1,1.0
ISIC_0056208,1,1.0
ISIC_0060736,1,1.0
ISIC_8483382,1,1.0
ISIC_0058307,1,1.0
ISIC_0055327,1,1.0
ISIC_0056422,1,1.0
ISIC_0056303,1,1.0
ISIC_0055022,1,1.0
ISIC_0025955,1,1.0
ISIC_0068218,1,1.0
ISIC_0030486,1,1.0
ISIC_0055279,1,1.0
ISIC_0072909,1,1.0
ISIC_0031741,1,1.0
ISIC_0054329,1,1.0
ISIC_0065582,1,1.0
ISIC_0063289,1,1.0
ISIC_8157654,1,1.0
ISIC_0025313,1,1.0
ISIC_0058580,1,1.0
ISIC_0027964,1,1.0
ISIC_0028965,1,1.0
ISIC_6398669,1,1.0
ISIC_0064120,1,1.0
ISIC_0070400,1,1.0
ISIC_0070614,1,1.0
ISIC_0071538,1,1.0
ISIC_0015133_downsampled,1,1.0
ISIC_8892236,1,1.0
ISIC_0063897,1,1.0
ISIC_0054853,1,1.0
ISIC_0026802,1,1.0
ISIC_0027622,1,1.0
ISIC_0013141_downsampled,1,1.0
ISIC_0070940,1,1.0
ISIC_0069591,1,1.0
ISIC_0029316,1,1.0
ISIC_0024729,1,1.0
ISIC_0056403,1,1.0
ISIC_0060342,1,1.0
ISIC_0025450,1,1.0
ISIC_0009960,1,1.0
ISIC_0033274,1,1.0
ISIC_0066867,1,1.0
ISIC_0066505,1,1.0
ISIC_0068115,1,1.0
ISIC_0065121,1,1.0
ISIC_0053671,1,1.0
ISIC_7346228,1,1.0
ISIC_0056436,1,1.0
ISIC_0060148,1,1.0
ISIC_0063606,1,1.0
ISIC_0026909,1,1.0
ISIC_0069105,1,1.0
ISIC_0065191,1,1.0
ISIC_0014946_downsampled,1,1.0
ISIC_0060555,1,1.0
ISIC_0034141,1,1.0
ISIC_0072287,1,1.0
ISIC_0071537,1,1.0
ISIC_0058840,1,1.0
ISIC_0071492,1,1.0
ISIC_0024732,1,1.0
ISIC_0070074,1,1.0
ISIC_0028655,1,1.0
ISIC_0000145,1,1.0
ISIC_0070990,1,1.0
ISIC_0032790,1,1.0
ISIC_0064423,1,1.0
ISIC_0033518,1,1.0
ISIC_0911264,1,1.0
ISIC_0055526,1,1.0
ISIC_0071771,1,1.0
ISIC_0064023,1,1.0
ISIC_0032812,1,1.0
ISIC_0013594_downsampled,1,1.0
ISIC_0055376,1,1.0
ISIC_0034317,1,1.0
ISIC_0207268,1,1.0
ISIC_0054038,1,1.0
ISIC_9770677,1,1.0
ISIC_0027102,1,1.0
ISIC_0067597,1,1.0
ISIC_0065714,1,1.0
ISIC_6089318,1,1.0
ISIC_0031233,1,1.0
ISIC_0068023,1,1.0
ISIC_0070372,1,1.0
ISIC_1616031,1,1.0
ISIC_0055930,1,1.0
ISIC_0066659,1,1.0
ISIC_0059983,1,1.0
ISIC_0033114,1,1.0
ISIC_0069620,1,1.0
ISIC_0071725,1,1.0
ISIC_0027507,1,1.0
ISIC_0058010,1,1.0
ISIC_0000175,1,1.0
ISIC_0055467,1,1.0
ISIC_2871230,1,1.0
ISIC_0057371,1,1.0
ISIC_0071179,1,1.0
ISIC_0029370,1,1.0
ISIC_0062442,1,1.0
ISIC_0059513,1,1.0
ISIC_0058245,1,1.0
ISIC_0072382,1,1.0
ISIC_0056988,1,1.0
ISIC_0069410,1,1.0
ISIC_0061244,1,1.0
ISIC_0053801,1,1.0
ISIC_0070020,1,1.0
ISIC_0033186,1,1.0
ISIC_0029265,1,1.0
ISIC_0065627,1,1.0
ISIC_0030616,1,1.0
ISIC_0063018,1,1.0
ISIC_0030417,1,1.0
ISIC_0060962,1,1.0
ISIC_6507412,0,1.0
ISIC_1960468,0,1.0
ISIC_8525845,0,1.0
ISIC_2072760,0,1.0
ISIC_7161069,0,1.0
ISIC_5238536,0,1.0
ISIC_5082596,0,1.0
ISIC_0259179,0,1.0
ISIC_7383511,0,1.0
ISIC_2951741,0,1.0
ISIC_0430904,0,1.0
ISIC_9749663,0,1.0
ISIC_3400298,0,1.0
ISIC_3413403,0,1.0
ISIC_8837553,0,1.0
ISIC_0185135,0,1.0
ISIC_6172071,0,1.0
ISIC_6220953,0,1.0
ISIC_5611035,0,1.0
ISIC_5679708,0,1.0
ISIC_8720514,0,1.0
ISIC_7440724,0,1.0
ISIC_8512716,0,1.0
ISIC_0173137,0,1.0
ISIC_3879564,0,1.0
ISIC_2795016,0,1.0
ISIC_2046223,0,1.0
ISIC_0452379,0,1.0
ISIC_0420777,0,1.0
ISIC_8504808,0,1.0
ISIC_4709512,0,1.0
ISIC_0963460,0,1.0
ISIC_6894346,0,1.0
ISIC_2857027,0,1.0
ISIC_9619029,0,1.0
ISIC_7411913,0,1.0
ISIC_2243954,0,1.0
ISIC_6200688,0,1.0
ISIC_5723176,0,1.0
ISIC_3213948,0,1.0
ISIC_1021883,0,1.0
ISIC_4613437,0,1.0
ISIC_2817878,0,1.0
ISIC_6296651,0,1.0
ISIC_4364454,0,1.0
ISIC_6310830,0,1.0
ISIC_1070864,0,1.0
ISIC_3222447,0,1.0
ISIC_4287317,0,1.0
ISIC_0959085,0,1.0
