image_name,target,monk_skin_tone
ISIC_0061997_orig,1,1.0
ISIC_0061997_aug1,1,1.0
ISIC_0061997_aug2,1,1.0
ISIC_0061997_aug3,1,1.0
ISIC_0067127_orig,1,1.0
ISIC_0067127_aug1,1,1.0
ISIC_0067127_aug2,1,1.0
ISIC_0067127_aug3,1,1.0
ISIC_6945634_orig,1,1.0
ISIC_6945634_aug1,1,1.0
ISIC_6945634_aug2,1,1.0
ISIC_6945634_aug3,1,1.0
ISIC_0067696_orig,1,1.0
ISIC_0067696_aug1,1,1.0
ISIC_0067696_aug2,1,1.0
ISIC_0067696_aug3,1,1.0
ISIC_7577395_orig,1,1.0
ISIC_7577395_aug1,1,1.0
ISIC_7577395_aug2,1,1.0
ISIC_7577395_aug3,1,1.0
ISIC_0060326_orig,1,1.0
ISIC_0060326_aug1,1,1.0
ISIC_0060326_aug2,1,1.0
ISIC_0060326_aug3,1,1.0
ISIC_0000160_orig,1,1.0
ISIC_0000160_aug1,1,1.0
ISIC_0000160_aug2,1,1.0
ISIC_0000160_aug3,1,1.0
ISIC_0053812_orig,1,1.0
ISIC_0053812_aug1,1,1.0
ISIC_0053812_aug2,1,1.0
ISIC_0053812_aug3,1,1.0
ISIC_0071892_orig,1,1.0
ISIC_0071892_aug1,1,1.0
ISIC_0071892_aug2,1,1.0
ISIC_0071892_aug3,1,1.0
ISIC_0034243_orig,1,1.0
ISIC_0034243_aug1,1,1.0
ISIC_0034243_aug2,1,1.0
ISIC_0034243_aug3,1,1.0
ISIC_3775417_orig,1,1.0
ISIC_3775417_aug1,1,1.0
ISIC_3775417_aug2,1,1.0
ISIC_3775417_aug3,1,1.0
ISIC_0032462_orig,1,1.0
ISIC_0032462_aug1,1,1.0
ISIC_0032462_aug2,1,1.0
ISIC_0032462_aug3,1,1.0
ISIC_0063300_orig,1,1.0
ISIC_0063300_aug1,1,1.0
ISIC_0063300_aug2,1,1.0
ISIC_0063300_aug3,1,1.0
ISIC_0070364_orig,1,1.0
ISIC_0070364_aug1,1,1.0
ISIC_0070364_aug2,1,1.0
ISIC_0070364_aug3,1,1.0
ISIC_0070992_orig,1,1.0
ISIC_0070992_aug1,1,1.0
ISIC_0070992_aug2,1,1.0
ISIC_0070992_aug3,1,1.0
ISIC_0068116_orig,1,1.0
ISIC_0068116_aug1,1,1.0
ISIC_0068116_aug2,1,1.0
ISIC_0068116_aug3,1,1.0
ISIC_0059218_orig,1,1.0
ISIC_0059218_aug1,1,1.0
ISIC_0059218_aug2,1,1.0
ISIC_0059218_aug3,1,1.0
ISIC_0068910_orig,1,1.0
ISIC_0068910_aug1,1,1.0
ISIC_0068910_aug2,1,1.0
ISIC_0068910_aug3,1,1.0
ISIC_0064667_orig,1,1.0
ISIC_0064667_aug1,1,1.0
ISIC_0064667_aug2,1,1.0
ISIC_0064667_aug3,1,1.0
ISIC_0025964_orig,1,1.0
ISIC_0025964_aug1,1,1.0
ISIC_0025964_aug2,1,1.0
ISIC_0025964_aug3,1,1.0
ISIC_0065709_orig,1,1.0
ISIC_0065709_aug1,1,1.0
ISIC_0065709_aug2,1,1.0
ISIC_0065709_aug3,1,1.0
ISIC_9164054_orig,1,1.0
ISIC_9164054_aug1,1,1.0
ISIC_9164054_aug2,1,1.0
ISIC_9164054_aug3,1,1.0
ISIC_0027502_orig,1,1.0
ISIC_0027502_aug1,1,1.0
ISIC_0027502_aug2,1,1.0
ISIC_0027502_aug3,1,1.0
ISIC_2191434_orig,0,9.0
ISIC_2191434_aug1,0,9.0
ISIC_2191434_aug2,0,9.0
ISIC_2191434_aug3,0,9.0
ISIC_0333051_orig,0,9.0
ISIC_0333051_aug1,0,9.0
ISIC_0333051_aug2,0,9.0
ISIC_0333051_aug3,0,9.0
ISIC_9302863_orig,0,9.0
ISIC_9302863_aug1,0,9.0
ISIC_9302863_aug2,0,9.0
ISIC_9302863_aug3,0,9.0
ISIC_3379523_orig,0,9.0
ISIC_3379523_aug1,0,9.0
ISIC_3379523_aug2,0,9.0
ISIC_3379523_aug3,0,9.0
ISIC_4820373_orig,0,10.0
ISIC_4820373_aug1,0,10.0
ISIC_4820373_aug2,0,10.0
ISIC_4820373_aug3,0,10.0
ISIC_0064167_orig,1,1.0
ISIC_0064167_aug1,1,1.0
ISIC_0064167_aug2,1,1.0
ISIC_0064167_aug3,1,1.0
ISIC_0033773_orig,1,1.0
ISIC_0033773_aug1,1,1.0
ISIC_0033773_aug2,1,1.0
ISIC_0033773_aug3,1,1.0
ISIC_0068560_orig,1,1.0
ISIC_0068560_aug1,1,1.0
ISIC_0068560_aug2,1,1.0
ISIC_0068560_aug3,1,1.0
ISIC_0062639_orig,1,1.0
ISIC_0062639_aug1,1,1.0
ISIC_0062639_aug2,1,1.0
ISIC_0062639_aug3,1,1.0
ISIC_0063072_orig,1,1.0
ISIC_0063072_aug1,1,1.0
ISIC_0063072_aug2,1,1.0
ISIC_0063072_aug3,1,1.0
ISIC_0056428_orig,1,1.0
ISIC_0056428_aug1,1,1.0
ISIC_0056428_aug2,1,1.0
ISIC_0056428_aug3,1,1.0
ISIC_0033302_orig,1,1.0
ISIC_0033302_aug1,1,1.0
ISIC_0033302_aug2,1,1.0
ISIC_0033302_aug3,1,1.0
ISIC_0067208_orig,1,1.0
ISIC_0067208_aug1,1,1.0
ISIC_0067208_aug2,1,1.0
ISIC_0067208_aug3,1,1.0
ISIC_0067747_orig,1,1.0
ISIC_0067747_aug1,1,1.0
ISIC_0067747_aug2,1,1.0
ISIC_0067747_aug3,1,1.0
ISIC_0025651_orig,1,1.0
ISIC_0025651_aug1,1,1.0
ISIC_0025651_aug2,1,1.0
ISIC_0025651_aug3,1,1.0
ISIC_0026868_orig,1,1.0
ISIC_0026868_aug1,1,1.0
ISIC_0026868_aug2,1,1.0
ISIC_0026868_aug3,1,1.0
ISIC_0072377_orig,1,1.0
ISIC_0072377_aug1,1,1.0
ISIC_0072377_aug2,1,1.0
ISIC_0072377_aug3,1,1.0
ISIC_0070285_orig,1,1.0
ISIC_0070285_aug1,1,1.0
ISIC_0070285_aug2,1,1.0
ISIC_0070285_aug3,1,1.0
ISIC_0026586_orig,1,1.0
ISIC_0026586_aug1,1,1.0
ISIC_0026586_aug2,1,1.0
ISIC_0026586_aug3,1,1.0
ISIC_0057261_orig,1,1.0
ISIC_0057261_aug1,1,1.0
ISIC_0057261_aug2,1,1.0
ISIC_0057261_aug3,1,1.0
ISIC_1247683_orig,1,1.0
ISIC_1247683_aug1,1,1.0
ISIC_1247683_aug2,1,1.0
ISIC_1247683_aug3,1,1.0
ISIC_0055563_orig,1,1.0
ISIC_0055563_aug1,1,1.0
ISIC_0055563_aug2,1,1.0
ISIC_0055563_aug3,1,1.0
ISIC_0057734_orig,1,1.0
ISIC_0057734_aug1,1,1.0
ISIC_0057734_aug2,1,1.0
ISIC_0057734_aug3,1,1.0
ISIC_0071101_orig,1,1.0
ISIC_0071101_aug1,1,1.0
ISIC_0071101_aug2,1,1.0
ISIC_0071101_aug3,1,1.0
ISIC_0071392_orig,1,1.0
ISIC_0071392_aug1,1,1.0
ISIC_0071392_aug2,1,1.0
ISIC_0071392_aug3,1,1.0
ISIC_0054244_orig,1,1.0
ISIC_0054244_aug1,1,1.0
ISIC_0054244_aug2,1,1.0
ISIC_0054244_aug3,1,1.0
ISIC_0025744_orig,1,1.0
ISIC_0025744_aug1,1,1.0
ISIC_0025744_aug2,1,1.0
ISIC_0025744_aug3,1,1.0
ISIC_0072786_orig,1,1.0
ISIC_0072786_aug1,1,1.0
ISIC_0072786_aug2,1,1.0
ISIC_0072786_aug3,1,1.0
ISIC_0025603_orig,1,1.0
ISIC_0025603_aug1,1,1.0
ISIC_0025603_aug2,1,1.0
ISIC_0025603_aug3,1,1.0
ISIC_0025303_orig,1,1.0
ISIC_0025303_aug1,1,1.0
ISIC_0025303_aug2,1,1.0
ISIC_0025303_aug3,1,1.0
ISIC_0001140_orig,1,1.0
ISIC_0001140_aug1,1,1.0
ISIC_0001140_aug2,1,1.0
ISIC_0001140_aug3,1,1.0
ISIC_0032888_orig,1,1.0
ISIC_0032888_aug1,1,1.0
ISIC_0032888_aug2,1,1.0
ISIC_0032888_aug3,1,1.0
ISIC_0056208_orig,1,1.0
ISIC_0056208_aug1,1,1.0
ISIC_0056208_aug2,1,1.0
ISIC_0056208_aug3,1,1.0
ISIC_0060736_orig,1,1.0
ISIC_0060736_aug1,1,1.0
ISIC_0060736_aug2,1,1.0
ISIC_0060736_aug3,1,1.0
ISIC_8483382_orig,1,1.0
ISIC_8483382_aug1,1,1.0
ISIC_8483382_aug2,1,1.0
ISIC_8483382_aug3,1,1.0
ISIC_0058307_orig,1,1.0
ISIC_0058307_aug1,1,1.0
ISIC_0058307_aug2,1,1.0
ISIC_0058307_aug3,1,1.0
ISIC_0055327_orig,1,1.0
ISIC_0055327_aug1,1,1.0
ISIC_0055327_aug2,1,1.0
ISIC_0055327_aug3,1,1.0
ISIC_0056422_orig,1,1.0
ISIC_0056422_aug1,1,1.0
